x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1488,818365	-495,749478	0,474826	0,326044	0,000595	0,001170	3584087420,292216	-0,001629	-0,002874	-0,000309	-0,001138	0,002301	0,001375	0,000000	1488,729303	-497,031700
1488,539356	-495,661579	0,455409	0,314027	0,000371	0,001209	3584087420,302219	-0,001678	-0,002831	-0,000312	-0,001096	0,002378	0,001368	0,000000	1488,750795	-497,029681
1488,539356	-495,661579	0,455409	0,306775	0,000227	0,001232	3584087420,312217	-0,001727	-0,002787	-0,000315	-0,001071	0,002428	0,001364	0,000000	1488,772316	-497,027603
1488,328446	-495,517525	0,439823	0,294717	0,000021	0,001280	3584087420,322219	-0,001775	-0,002744	-0,000317	-0,001029	0,002499	0,001355	0,000000	1488,793864	-497,025465
1488,328446	-495,517525	0,439823	0,287441	-0,000112	0,001308	3584087420,332218	-0,001823	-0,002700	-0,000319	-0,001003	0,002544	0,001349	0,000000	1488,815439	-497,023270
1488,080537	-495,362078	0,424704	0,276885	-0,000284	0,001381	3584087420,342220	-0,001870	-0,002656	-0,000320	-0,000967	0,002603	0,001335	0,000000	1488,837041	-497,021017
1488,080537	-495,362078	0,424704	0,270517	-0,000397	0,001424	3584087420,352217	-0,001917	-0,002612	-0,000320	-0,000944	0,002641	0,001327	0,000000	1488,858668	-497,018706
1487,875791	-495,250743	0,411428	0,260693	-0,000571	0,001510	3584087420,362220	-0,001962	-0,002568	-0,000320	-0,000910	0,002701	0,001310	0,000000	1488,880321	-497,016338
1487,875791	-495,250743	0,411428	0,254767	-0,000686	0,001562	3584087420,372219	-0,002008	-0,002524	-0,000320	-0,000889	0,002739	0,001300	0,000000	1488,901997	-497,013914
1487,719030	-495,112039	0,399328	0,245941	-0,000844	0,001636	3584087420,382219	-0,002052	-0,002480	-0,000318	-0,000858	0,002793	0,001286	0,000000	1488,923696	-497,011433
